# pages.csv — living URL inventory (GATE 2A). Header note: this file is REGENERATED BY CI POST-BUILD per specs/url-inventory.md (route manifest + preview crawl + sitemap + link graph + redirect/canonical/hreflang resolution). This S0 seed fills only what is knowable pre-build; runtime fields (http_status, final_url, title, meta_description, h1, word_count, internal_in/out_links, similarity_cluster, lastmod) = pending-build. Rows with {city}/{area}/{slug}/{...} are template families; the 6 /stays-in-{city} rows are the Day-1 active instances. Locale = en-PK (root) + ur-PK (/ur, next-intl as-needed). FUTURE families use rendering-and-routes.md §5 LOCKED slugs (supersede intent-map illustrative slugs — see review/reconciliation.md).
"url","page_type","locale","destination","parent_destination","http_status","final_url","indexability","robots_directive","canonical","hreflang","html_lang","title","meta_description","h1","word_count","internal_in_links","internal_out_links","in_sitemap","schema_types","primary_intent","similarity_cluster","lastmod","data_source"
"/","home","en-PK","","","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","Organization;WebSite(SearchAction)","Brand entry + category discovery (Shariah-respectful stays across Pakistan)","pending-build","pending-build","route-registry; SEO-RULES §3.1"
"/ur","home","ur-PK","","","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","Organization;WebSite(SearchAction)","Brand entry + category discovery (Shariah-respectful stays across Pakistan)","pending-build","pending-build","route-registry; SEO-RULES §3.1"
"/stays-in-islamabad","city","en-PK","Islamabad","ICT (Islamabad Capital Territory)","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","ItemList","Commercial: verified short-stay homes in Islamabad","pending-build","pending-build","cities.id=islamabad (active); city-facts.md"
"/ur/stays-in-islamabad","city","ur-PK","Islamabad","ICT (Islamabad Capital Territory)","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","ItemList","Commercial: verified short-stay homes in Islamabad","pending-build","pending-build","cities.id=islamabad (active); city-facts.md"
"/stays-in-karachi","city","en-PK","Karachi","Sindh","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","ItemList","Commercial: verified short-stay homes in Karachi","pending-build","pending-build","cities.id=karachi (active); city-facts.md"
"/ur/stays-in-karachi","city","ur-PK","Karachi","Sindh","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","ItemList","Commercial: verified short-stay homes in Karachi","pending-build","pending-build","cities.id=karachi (active); city-facts.md"
"/stays-in-lahore","city","en-PK","Lahore","Punjab","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","ItemList","Commercial: verified short-stay homes in Lahore","pending-build","pending-build","cities.id=lahore (active); city-facts.md"
"/ur/stays-in-lahore","city","ur-PK","Lahore","Punjab","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","ItemList","Commercial: verified short-stay homes in Lahore","pending-build","pending-build","cities.id=lahore (active); city-facts.md"
"/stays-in-peshawar","city","en-PK","Peshawar","Khyber Pakhtunkhwa (KP)","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","ItemList","Commercial: verified short-stay homes in Peshawar","pending-build","pending-build","cities.id=peshawar (active); city-facts.md"
"/ur/stays-in-peshawar","city","ur-PK","Peshawar","Khyber Pakhtunkhwa (KP)","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","ItemList","Commercial: verified short-stay homes in Peshawar","pending-build","pending-build","cities.id=peshawar (active); city-facts.md"
"/stays-in-faisalabad","city","en-PK","Faisalabad","Punjab","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","ItemList","Commercial: verified short-stay homes in Faisalabad","pending-build","pending-build","cities.id=faisalabad (active); city-facts.md"
"/ur/stays-in-faisalabad","city","ur-PK","Faisalabad","Punjab","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","ItemList","Commercial: verified short-stay homes in Faisalabad","pending-build","pending-build","cities.id=faisalabad (active); city-facts.md"
"/stays-in-rawalpindi","city","en-PK","Rawalpindi","Punjab","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","ItemList","Commercial: verified short-stay homes in Rawalpindi","pending-build","pending-build","cities.id=rawalpindi (active); city-facts.md"
"/ur/stays-in-rawalpindi","city","ur-PK","Rawalpindi","Punjab","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","ItemList","Commercial: verified short-stay homes in Rawalpindi","pending-build","pending-build","cities.id=rawalpindi (active); city-facts.md"
"/stays-in-{city}/{area}","area","en-PK","{Area}","{City}","pending-build","pending-build","index (iff clears §6/GATE19 bar; else noindex,follow)","index,follow | noindex,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;ItemList","Commercial: verified stays in {Area}, {City} (neighbourhood intent)","pending-build","pending-build","areas registry (F6); entity-register §4; supply gate"
"/ur/stays-in-{city}/{area}","area","ur-PK","{Area}","{City}","pending-build","pending-build","index (iff clears §6/GATE19 bar; else noindex,follow)","index,follow | noindex,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;ItemList","Commercial: verified stays in {Area}, {City} (neighbourhood intent)","pending-build","pending-build","areas registry (F6); entity-register §4; supply gate"
"/stays-in-{city}/{area}/{slug}","listing","en-PK","{Property}","{Area}, {City}","pending-build","pending-build","index (when active & bookable; else noindex)","index,follow | noindex","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;LodgingBusiness","Transactional: evaluate & book this specific verified property","pending-build","pending-build","listings.id=… (active,bookable); F9-F18"
"/ur/stays-in-{city}/{area}/{slug}","listing","ur-PK","{Property}","{Area}, {City}","pending-build","pending-build","index (when active & bookable; else noindex)","index,follow | noindex","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;LodgingBusiness","Transactional: evaluate & book this specific verified property","pending-build","pending-build","listings.id=… (active,bookable); F9-F18"
"/search","search","en-PK","","","pending-build","pending-build","noindex","noindex,follow","cross → clean city/area page (SEO-RULES §3.5)","n-a","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","no","(none on results)","Faceted browse of city/date/guest/cultural-filtered results (transient)","pending-build","pending-build","searchParams; GW-005 (noindex shell)"
"/ur/search","search","ur-PK","","","pending-build","pending-build","noindex","noindex,follow","cross → clean city/area page (SEO-RULES §3.5)","n-a","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","no","(none on results)","Faceted browse of city/date/guest/cultural-filtered results (transient)","pending-build","pending-build","searchParams; GW-005 (noindex shell)"
"/become-a-host","host","en-PK","","","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;FAQPage(if real)","Host acquisition: convert a PK homeowner into a host applicant","pending-build","pending-build","HA-001; SEO-RULES §3.6"
"/ur/become-a-host","host","ur-PK","","","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;FAQPage(if real)","Host acquisition: convert a PK homeowner into a host applicant","pending-build","pending-build","HA-001; SEO-RULES §3.6"
"/trust-and-safety","trust","en-PK","","","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","WebPage","Informational: how SalamStay keeps stays safe & verified","pending-build","pending-build","GW-006; SEO-RULES §3.9"
"/ur/trust-and-safety","trust","ur-PK","","","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","WebPage","Informational: how SalamStay keeps stays safe & verified","pending-build","pending-build","GW-006; SEO-RULES §3.9"
"/shariah-policy","trust","en-PK","","","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","WebPage","Informational: Shariah-respectful cultural-verification model + party-type→doc matrix","pending-build","pending-build","GW-007; SEO-RULES §3.9"
"/ur/shariah-policy","trust","ur-PK","","","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","WebPage","Informational: Shariah-respectful cultural-verification model + party-type→doc matrix","pending-build","pending-build","GW-007; SEO-RULES §3.9"
"/about","trust","en-PK","","","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","AboutPage","Company/brand story (E-E-A-T): who SalamStay is & why","pending-build","pending-build","GW-008; SEO-RULES §3.9"
"/ur/about","trust","ur-PK","","","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","AboutPage","Company/brand story (E-E-A-T): who SalamStay is & why","pending-build","pending-build","GW-008; SEO-RULES §3.9"
"/help","help","en-PK","","","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","WebPage","Support hub: find help across booking/verification/hosting/payments/account","pending-build","pending-build","GW-020 hub; SEO-RULES §3.10"
"/ur/help","help","ur-PK","","","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","WebPage","Support hub: find help across booking/verification/hosting/payments/account","pending-build","pending-build","GW-020 hub; SEO-RULES §3.10"
