"source","target","link_type","anchor_rule_ref"
"*(all pages — shared footer)","city:islamabad","footer","SEO-RULES §3.12 canonical footer inventory; descriptive anchor, never 'click here'"
"*(all pages — shared footer)","city:karachi","footer","SEO-RULES §3.12 canonical footer inventory; descriptive anchor, never 'click here'"
"*(all pages — shared footer)","city:lahore","footer","SEO-RULES §3.12 canonical footer inventory; descriptive anchor, never 'click here'"
"*(all pages — shared footer)","city:peshawar","footer","SEO-RULES §3.12 canonical footer inventory; descriptive anchor, never 'click here'"
"*(all pages — shared footer)","city:faisalabad","footer","SEO-RULES §3.12 canonical footer inventory; descriptive anchor, never 'click here'"
"*(all pages — shared footer)","city:rawalpindi","footer","SEO-RULES §3.12 canonical footer inventory; descriptive anchor, never 'click here'"
"*(all pages — shared footer)","become-a-host","footer","SEO-RULES §3.12 canonical footer inventory; descriptive anchor, never 'click here'"
"*(all pages — shared footer)","trust-and-safety","footer","SEO-RULES §3.12 canonical footer inventory; descriptive anchor, never 'click here'"
"*(all pages — shared footer)","shariah-policy","footer","SEO-RULES §3.12 canonical footer inventory; descriptive anchor, never 'click here'"
"*(all pages — shared footer)","about","footer","SEO-RULES §3.12 canonical footer inventory; descriptive anchor, never 'click here'"
"*(all pages — shared footer)","help","footer","SEO-RULES §3.12 canonical footer inventory; descriptive anchor, never 'click here'"
"*(all pages — shared footer)","legal:terms","footer","SEO-RULES §3.12 canonical footer inventory; descriptive anchor, never 'click here'"
"*(all pages — shared footer)","legal:privacy","footer","SEO-RULES §3.12 canonical footer inventory; descriptive anchor, never 'click here'"
"*(all pages — shared footer)","legal:guest-refund-policy","footer","SEO-RULES §3.12 canonical footer inventory; descriptive anchor, never 'click here'"
"*(all pages — shared footer)","legal:host-terms","footer","SEO-RULES §3.12 canonical footer inventory; descriptive anchor, never 'click here'"
"*(all pages — shared footer)","legal:cookie-policy","footer","SEO-RULES §3.12 canonical footer inventory; descriptive anchor, never 'click here'"
"*(all pages — shared footer)","legal:community-standards","footer","SEO-RULES §3.12 canonical footer inventory; descriptive anchor, never 'click here'"
"*(all pages)","home","nav","SEO-RULES §3.1 In: every page's logo links home; §2 descriptive"
"*(all pages)","search","nav","SEO-RULES §3.5 In: nav search box"
"*(all pages)","legal:cookie-policy","nav","SEO-RULES §3.12 / GW-014 consent banner (root overlay)"
"home","city:islamabad","card","SEO-RULES §3.1 city cards; §2 'Stays in {City}'"
"home","city:karachi","card","SEO-RULES §3.1 city cards; §2 'Stays in {City}'"
"home","city:lahore","card","SEO-RULES §3.1 city cards; §2 'Stays in {City}'"
"home","city:peshawar","card","SEO-RULES §3.1 city cards; §2 'Stays in {City}'"
"home","city:faisalabad","card","SEO-RULES §3.1 city cards; §2 'Stays in {City}'"
"home","city:rawalpindi","card","SEO-RULES §3.1 city cards; §2 'Stays in {City}'"
"home","become-a-host","contextual","SEO-RULES §3.1 host CTA"
"home","guide","contextual","SEO-RULES §3.1 top 2-3 city guides"
"home","trust-and-safety","contextual","SEO-RULES §3.1 trust/safety strip"
"home","shariah-policy","contextual","SEO-RULES §3.1 trust/safety strip"
"home","about","contextual","SEO-RULES §3.1 trust/safety strip"
"city:islamabad","area","card","SEO-RULES §3.2 area rail; §39 'View stays in {Area}'"
"city:islamabad","listing","card","SEO-RULES §3.2 featured ListingCard rail"
"city:islamabad","guide","contextual","SEO-RULES §3.2 city guide link"
"city:islamabad","become-a-host","contextual","SEO-RULES §3.6 In: city pages"
"city:karachi","area","card","SEO-RULES §3.2 area rail; §39 'View stays in {Area}'"
"city:karachi","listing","card","SEO-RULES §3.2 featured ListingCard rail"
"city:karachi","guide","contextual","SEO-RULES §3.2 city guide link"
"city:karachi","become-a-host","contextual","SEO-RULES §3.6 In: city pages"
"city:lahore","area","card","SEO-RULES §3.2 area rail; §39 'View stays in {Area}'"
"city:lahore","listing","card","SEO-RULES §3.2 featured ListingCard rail"
"city:lahore","guide","contextual","SEO-RULES §3.2 city guide link"
"city:lahore","become-a-host","contextual","SEO-RULES §3.6 In: city pages"
"city:peshawar","area","card","SEO-RULES §3.2 area rail; §39 'View stays in {Area}'"
"city:peshawar","listing","card","SEO-RULES §3.2 featured ListingCard rail"
"city:peshawar","guide","contextual","SEO-RULES §3.2 city guide link"
"city:peshawar","become-a-host","contextual","SEO-RULES §3.6 In: city pages"
"city:faisalabad","area","card","SEO-RULES §3.2 area rail; §39 'View stays in {Area}'"
"city:faisalabad","listing","card","SEO-RULES §3.2 featured ListingCard rail"
"city:faisalabad","guide","contextual","SEO-RULES §3.2 city guide link"
"city:faisalabad","become-a-host","contextual","SEO-RULES §3.6 In: city pages"
"city:rawalpindi","area","card","SEO-RULES §3.2 area rail; §39 'View stays in {Area}'"
"city:rawalpindi","listing","card","SEO-RULES §3.2 featured ListingCard rail"
"city:rawalpindi","guide","contextual","SEO-RULES §3.2 city guide link"
"city:rawalpindi","become-a-host","contextual","SEO-RULES §3.6 In: city pages"
"city:islamabad","city:rawalpindi","contextual","SEO-RULES §3.2 cross-link to 1-2 nearby cities"
"city:rawalpindi","city:islamabad","contextual","SEO-RULES §3.2 cross-link to 1-2 nearby cities"
"city:lahore","city:faisalabad","contextual","SEO-RULES §3.2 cross-link to 1-2 nearby cities"
"city:faisalabad","city:lahore","contextual","SEO-RULES §3.2 cross-link to 1-2 nearby cities"
"city:karachi","city:lahore","contextual","SEO-RULES §3.2 cross-link to 1-2 nearby cities"
"city:peshawar","city:islamabad","contextual","SEO-RULES §3.2 cross-link to 1-2 nearby cities"
"area","listing","card","SEO-RULES §3.3 in-area listings"
"area","city:lahore","breadcrumb","SEO-RULES §2/§3.3 breadcrumb Area->City (parent-city link)"
"listing","area","breadcrumb","SEO-RULES §3.4 breadcrumb Listing->Area"
"listing","city:lahore","breadcrumb","SEO-RULES §3.4 breadcrumb Listing->City"
"listing","host-profile","contextual","SEO-RULES §3.4 HostCard -> host profile"
"listing","listing","card","SEO-RULES §3.4 nearby listings"
"listing","shariah-policy","contextual","SEO-RULES §3.4 verification block deep-links /shariah-policy"
"listing","legal:guest-refund-policy","contextual","source-of-truth F16 cancellation tier text"
"search","listing","card","SEO-RULES §3.5 listing cards link crawlable URLs"
"search","city:lahore","contextual","SEO-RULES §3.5 city/area links"
"search","area","contextual","SEO-RULES §3.5 city/area links"
"become-a-host","help","contextual","SEO-RULES §3.6 host help/guides"
"become-a-host","guide","contextual","SEO-RULES §3.6 host guides"
"become-a-host","legal:host-terms","contextual","SEO-RULES §3.6 legal (host terms)"
"become-a-host","home","contextual","SEO-RULES §3.6 homepage"
"trust-and-safety","shariah-policy","contextual","SEO-RULES §3.9 other two trust-cluster pages"
"trust-and-safety","about","contextual","SEO-RULES §3.9 other two trust-cluster pages"
"trust-and-safety","legal:community-standards","contextual","SEO-RULES §3.9 relevant legal policies"
"trust-and-safety","legal:host-terms","contextual","SEO-RULES §3.9 relevant legal policies"
"trust-and-safety","home","contextual","SEO-RULES §3.9 homepage"
"trust-and-safety","help","contextual","SEO-RULES §3.9 help hub"
"shariah-policy","trust-and-safety","contextual","SEO-RULES §3.9 other two trust-cluster pages"
"shariah-policy","about","contextual","SEO-RULES §3.9 other two trust-cluster pages"
"shariah-policy","legal:community-standards","contextual","SEO-RULES §3.9 relevant legal policies"
"shariah-policy","legal:host-terms","contextual","SEO-RULES §3.9 relevant legal policies"
"shariah-policy","home","contextual","SEO-RULES §3.9 homepage"
"shariah-policy","help","contextual","SEO-RULES §3.9 help hub"
"about","trust-and-safety","contextual","SEO-RULES §3.9 other two trust-cluster pages"
"about","shariah-policy","contextual","SEO-RULES §3.9 other two trust-cluster pages"
"about","legal:community-standards","contextual","SEO-RULES §3.9 relevant legal policies"
