route_pattern,page_type,primary_intent,secondary_intents,main_entity,target_audience,conversion_action,competing_urls,intent_clarity_score,status
/,homepage,"Brand entry + category discovery (EN): what SalamStay is and where to start booking Shariah-respectful stays across Pakistan","brand/navigational queries (salamstay); how verification works; entry to the 6 beta cities; become-a-host entry","SalamStay (Organization)","all PK domestic travelers + overseas-Pakistani (diaspora)","start a search / pick a destination","none (owns brand+category entry only; never city money-queries)",5,active
/ur,homepage,"Brand entry + category discovery (Urdu locale): what SalamStay is and where to start booking, in Urdu","brand/navigational (Urdu); verification overview; city entry","SalamStay (Organization)","Urdu-first PK travelers","start a search / pick a destination","none (hreflang alternate of /, not a competitor)",5,active
/stays-in-islamabad,city landing,"Commercial: book/browse verified short-stay homes in Islamabad","apartments & guest houses in Islamabad; F-sector stays; stays near Faisal Mosque; family/women-only stays in Islamabad (type-qualified terms cede to type-x-city pages when those earn a page)","City: Islamabad (ICT)","travelers to Islamabad — govt/corporate, diaspora, families, northern-areas stagers","browse city listings / open a listing","none",5,active
/stays-in-karachi,city landing,"Commercial: book/browse verified short-stay homes in Karachi","apartments & guest houses in Karachi; Clifton/DHA stays; business stays; women-only stays","City: Karachi (Sindh)","travelers to Karachi — business, medical, diaspora, family","browse city listings / open a listing","none",5,active
/stays-in-lahore,city landing,"Commercial: book/browse verified short-stay homes in Lahore","apartments & guest houses in Lahore; Gulberg/DHA/Walled City stays; heritage & food tourism; wedding/event stays","City: Lahore (Punjab)","travelers to Lahore — heritage/food tourism, business, weddings, families","browse city listings / open a listing","none",5,active
/stays-in-peshawar,city landing,"Commercial: book/browse verified short-stay homes in Peshawar","guest houses in Peshawar; Hayatabad/University Town stays; business/trade stays; northern-KP staging","City: Peshawar (KP)","travelers to Peshawar — business/trade, aid-sector, family, KP-route stagers","browse city listings / open a listing","none",5,active
/stays-in-faisalabad,city landing,"Commercial: book/browse verified short-stay homes in Faisalabad","apartments & guest houses in Faisalabad; D-Ground/Madina Town stays; textile/industrial business stays","City: Faisalabad (Punjab)","business travelers (textile/industrial), family visitors","browse city listings / open a listing","none",5,active
/stays-in-rawalpindi,city landing,"Commercial: book/browse verified short-stay homes in Rawalpindi","guest houses in Rawalpindi; Saddar/Bahria Town stays; budget alternative to Islamabad; Murree/Taxila staging","City: Rawalpindi (Punjab)","budget-to-mid travelers, cantonment visitors, Murree/Galiyat/Taxila stagers","browse city listings / open a listing","none",5,active
/stays-in-{city}/{area},area / neighborhood,"Commercial: book verified stays in {Area}, {City} (neighborhood-level intent)","stays near {area landmarks/markets/masjids}; area-specific amenities; nearby-services distances","Area (child of City)","travelers with a specific neighborhood preference within a metro","browse in-area listings / open a listing","none (subset of city; earns a page only past the GATE 19 eligibility gate)",4,planned
/stays-in-{city}/{area}/{slug},listing detail (SEO),"Transactional: evaluate and book this specific verified property","the property's amenities/cultural attributes; house rules; host; nearby stays","Property / listing","a guest ready to evaluate a specific home","request/instant book","none (each listing is a unique entity)",5,planned
/search,search results shell,"Faceted browse of city/date/guest/cultural-filtered results (transient)","filter refinement; map browse; relax-a-filter","Search (query state)","a guest mid-search refining filters","open a listing / save a filter","none (noindex,follow; param URLs canonical -> clean city page, SEO-RULES §3.5)",3,noindex
/become-a-host,host acquisition landing,"Host acquisition: convert a PK homeowner into a host applicant","how hosting works; what hosts control; transparent fees/earnings; verification & trust; halal-income framing","Hosting (SalamStay host program)","prospective hosts / property managers in the 6 beta cities","start host signup / role-switch","none",5,active
/trust-and-safety,trust / content,"Informational: how SalamStay keeps stays safe and verified (trust & safety model)","NADRA/CNIC verification explained; women's-safety resources; reporting/escalation; payment & safety info","Trust & safety (SalamStay)","prospective guests & hosts evaluating trust","proceed to book / read shariah-policy","none",5,active
/shariah-policy,trust / content,"Informational: the Shariah-respectful cultural-verification model + party-type -> required-document matrix","Nikah Nama / FRC / CNIC requirements; privacy assurances; what Shariah-respectful means (and doesn't)","Shariah policy (SalamStay)","guests unsure which documents a booking needs; culturally-motivated guests","proceed to verification / book","none (owns the doc-matrix intent; never claims certification)",5,active
/about,trust / content,"Company/brand story: who SalamStay is, why it exists, mission, team (E-E-A-T)","Pakistan tourism gap; light-touch verification story; differentiators; careers/contact","SalamStay (company story)","press, partners, trust-checking users, prospective hosts","contact / explore stays","none (company story, distinct from the homepage category-entry intent)",4,active
/help,help hub,"Support hub: find help across booking, verification, hosting, payments, account","category navigation; search help; 24/7 Urdu+English support entry","Support (help center)","guests & hosts needing support","open a help article / contact support","none",4,active
/help/{category}/{slug},help article,"Support: answer one specific how-to / task question (e.g. how Nikah Nama verification works)","related registry claim; related articles; the flow the article documents","Support article (task/question)","a user resolving one specific task","complete the task / return to the flow","none (each article owns one distinct task-question; thin stubs ship noindex)",4,planned
/guides/{slug},guide / article,"Informational: destination travel & where-to-stay guidance (e.g. where to stay in Lahore)","best areas for a traveler type; things to do; getting around; local etiquette/prayer info","Guide (about a City/Region)","research-stage travelers","read guide / click through to city/area/listing","none (informational; MUST NOT target 'book stays in {city}' - that is the city page's, GATE 23/35)",4,future
/legal/terms,legal / policy,"Legal: binding terms of service (guest + host)","dispute resolution; PK jurisdiction clauses","Terms of Service","all users; trust/compliance checkers","read / accept","none",4,active
/legal/privacy,legal / policy,"Legal: privacy policy and data handling (PII, residency, NADRA consent, user rights)","data-flow; cookies cross-ref; export/delete rights","Privacy policy","all users; compliance checkers","read / manage consent","none",4,active
/legal/guest-refund-policy,legal / policy,"Legal: cancellation and refund policy (tiers + non-refundable fees + force majeure)","Flexible/Moderate/Strict tiers; Hijri-aware boundaries; Eid-surge handling","Refund & cancellation policy","guests & hosts before/after booking","read / proceed to book","none (canonical source for cancellation text used by listing + checkout, GATE 14)",4,active
/legal/host-terms,legal / policy,"Legal: host terms and hosting obligations","payout/tax obligations; listing standards; suspension/appeals","Host terms","hosts / property managers","read / accept","none (FLAG: footer links here but no SCREENS row yet - see testing-and-publishing.md §5)",4,planned
/legal/cookie-policy,legal / policy,"Legal: cookie policy and re-openable consent settings","cookie categories; Essential/Analytics/Marketing/Preferences toggles","Cookie policy","all users; consent management","manage consent","none",4,active
/legal/community-standards,legal / policy,"Legal: community standards / code of conduct (behavior, content, substance, photography)","no-alcohol explicit; pardah/no-unauthorized-photography; enforcement & appeals","Community standards","all users; hosts","read / report a violation","none",4,active
/legal/editorial-policy,legal / policy,"Editorial governance: authorship, sourcing, fact-check and AI-content verification standards","named-author + reviewer model; how facts are sourced/dated; links to author profiles","Editorial & fact-check policy","readers evaluating content trust; auditors","read / view an author profile","none (RECOMMENDED NEW ROW GW-017 - closes GATE 50/51 gap)",4,future
/legal/corrections,legal / policy,"Editorial governance: how factual errors are reported and corrected","correction dating; freshness/staleness commitment; contact to report an error","Corrections policy","readers; auditors; anyone reporting an error","report an error","none (RECOMMENDED NEW ROW GW-018 - closes GATE 50/54 gap)",4,future
/{region}-stays,province / regional,"Commercial: multi-city regional stay discovery (e.g. northern-areas / Gilgit-Baltistan stays)","choose among cities in the region; regional seasonality; region-level property mix","Region (province/tourism region)","travelers choosing a region before a city (esp. northern-areas)","drill into a city page / open a listing","none (region-level multi-city intent; must not compete with any single city page, GATE 20)",4,future
/{property-type},property-type,"Commercial: book a property type nationwide (e.g. farmhouses in Pakistan)","type characteristics; top cities for the type; type-specific amenities","PropertyType","travelers led by property type before location","filter by type / drill into type-x-city","none (nationwide type intent; type-x-city pages own the located variant)",3,future
/{property-type}-in-{city},property-type x city,"Commercial: book a specific property type in a specific city (e.g. apartments in Lahore)","type-in-city price range; area availability of the type; type-specific facts","PropertyType x City","travelers with both a type and a city in mind","browse type-scoped listings / open a listing","none (takes ownership of '{type} in {city}' from the city page's SECONDARY intents when it earns a page; earns a page only past a type-supply gate, GATE 21)",3,future
