"Gate ID","Category","Component","L1 status","L1 evidence","L2 status","L2 evidence","Overall","Severity","Confidence","Affected count","Examples","Repo files","Enforcement mechanism","Stage","Blocking","Complexity","Team"
"G1","Application architecture","Framework & rendering","Pass","ARCH §15.2 + ADR L14; SEO §1.1; SCREENS §2 Rendering col; UPGRADED post-spec: rendering-and-routes.md §2 RSC-first (no indexable page client-rendered) + §8 single metadata module lib/seo/metadata.ts + §9 JSON-LD builders","Unable to verify","No code/CI (ci.yml has no render checks)","Partial pass","High","Highly likely / Unable to verify","All web routes (17 GW + HA-001)","GW-001 SSR, GW-004 SSR-canonical","ARCHITECTURE.md,SEO-RULES.md,SCREENS.md","spec","S0,S2,S4","HARD","M","build-track"
"G2","Application architecture","Route generation","Pass","SEO §3.1-3.12 slug patterns; SCREENS §6 cities model + anti-doorway; UPGRADED post-spec: rendering-and-routes.md §7 written indexability matrix + §6 anti-doorway supply gate + §3.1 route registry; similarity §5 city N=10","Unable to verify","No route generator or CI","Partial pass","High","Highly likely / Unable to verify","~70-85 supply-earned pages (6 city Day-1)","/stays-in-lahore, /stays-in-islamabad/f-7","SEO-RULES.md,SCREENS.md,cities.md","spec","S0,S2","HARD","M","build-track"
"G2A","URL inventory","Living URL inventory","Pass","No spec/artifact; specs/ empty; UPGRADED post-spec: url-inventory.md §2 24-col schema + §3 5-input assembly + §4 regeneration triggers + §5 reconciliation invariants","Unable to verify","No routes/sitemaps/crawl to reconcile","Partial pass","High","Highly likely / Unable to verify","All URLs (none catalogued)","—","(none)","spec+CI","S0,S2,S5","HARD","L","build-track"
"G3","Crawlability","robots.txt","Pass","guest-web.md:111 defers it; no spec; UPGRADED post-spec: robots-sitemap.md §2 single source app/robots.ts + §2.1 staging/prod separation (env-driven, two layers)","Unable to verify","No robots file or deploy gate","Partial pass","High","Highly likely / Unable to verify","Site-wide (1 file)","—","guest-web.md","spec+CI","S0,S2,S4","HARD","S","build-track"
"G4","Crawlability","Meta robots/X-Robots","Pass","SEO §3.1-3.11 per-type index/noindex; SCREENS SEO-class col; UPGRADED post-spec: rendering-and-routes.md §7 indexability matrix + robots-sitemap.md §2.1 X-Robots-Tag header rules","Unable to verify","No rendered HTML/CI","Partial pass","Medium","Highly likely / Unable to verify","All indexable + noindex page types","Search=noindex,follow; Listing noindex when unlisted","SEO-RULES.md,SCREENS.md","spec","S0,S2,S4","HARD","S","build-track"
"G5","Crawlability","HTTP status & redirects","Pass","SEO §3.11 (404/5xx/soft-404), §3.4 listing noindex; SCREENS §6 anti-doorway; UPGRADED post-spec: redirects-canonicals.md §2 single redirect registry + §3 lifecycle (delisted→area 301, emptied area→city, deactivated city→home, 410 policy)","Unable to verify","No redirect registry/server/CI","Partial pass","High","Highly likely / Unable to verify","All routes; delisting lifecycle undefined","Delisted listing→? (target undefined)","SEO-RULES.md,SCREENS.md","spec","S0,S2,S4","HARD","M","build-track"
"G6","Canonicalisation","Canonical tags","Pass","SEO §4 self-referential parameter-free; §3.5 search→city; UPGRADED post-spec: redirects-canonicals.md §4 one module lib/seo/metadata.ts + per-type self/cross canonical table","Unable to verify","No rendered HTML/CI","Partial pass","Medium","Highly likely / Unable to verify","All indexable pages","/search canonical→/stays-in-{city}","SEO-RULES.md","spec","S0,S2,S4","HARD","S","build-track"
"G7","Canonicalisation","Duplicate URL handling","Pass","SEO §4 no param-soup, locale-prefix; §3.5 param noindex; UPGRADED post-spec: redirects-canonicals.md §5 10-pattern duplicate enumeration + rules (slash/case/www/http/params/pagination/locale)","Unable to verify","No URLs/CI","Partial pass","Medium","Highly likely / Unable to verify","All URL variants; slash/case/protocol unspecified","?ref=/?sort= excluded from canonical","SEO-RULES.md","spec","S0,S2","HARD","S","build-track"
"G8","Language & market","Locale architecture","Pass","SEO §4 en/ur next-intl, PKR, real-translation rule; SCREENS §6 name_en/ur; UPGRADED post-spec: locale-architecture.md §7 canonical transliteration table (45 cities + beta-6 areas) + §2 en-PK/ur-PK subdirectory","Unable to verify","No translated pages/CI","Partial pass","Medium","Highly likely / Unable to verify","EN+UR across all indexable","/ur/stays-in-lahore","SEO-RULES.md,cities.md","spec+manual","S0,S1,S3","HARD","M","content"
"G9","Language & market","Hreflang","Pass","SEO §4 reciprocal en↔ur↔x-default, both-or-neither; UPGRADED post-spec: locale-architecture.md §4 hreflang in lib/seo/metadata.ts, en-PK/ur-PK/x-default reciprocal/realness","Unable to verify","No rendered HTML/CI","Partial pass","Medium","Highly likely / Unable to verify","All indexable EN/UR pairs","en↔ur↔x-default; codes en/ur not en-PK/ur-PK","SEO-RULES.md","spec","S0,S2,S4","HARD","S","build-track"
